Date,Handle,GGR,Brand
2022-04-03,48873594,4254072.1749991,Caesars Sport Book
2022-04-03,72955408,5379577.99,DraftKings Sport Book
2022-04-03,2213954,217035.49999999898,ESPN Bet
2022-04-03,135723817,3819999.130000001,FanDuel
2022-04-03,6453997,362590.48000000004,Fanatics
2022-04-03,844323,90714.91999999998,Resorts World Bet
2022-04-03,8185567,324623.83,Rush Street Interactive
2022-04-10,49359984,694637.0049999999,Caesars Sport Book
2022-04-10,83517552,2444566.6124460045,DraftKings Sport Book
2022-04-10,1889788,180857.04999999973,ESPN Bet
2022-04-10,142036677,7956294.8100000005,FanDuel
2022-04-10,938208,62973.42999999998,Resorts World Bet
2022-04-10,9254760,413504.09999999986,Rush Street Interactive
2022-04-17,49871012,3354558.9924990362,Caesars Sport Book
2022-04-17,72108527,5785437.9899999965,DraftKings Sport Book
2022-04-17,2023913,92771.94999999963,ESPN Bet
2022-04-17,131793068,22081850.089999992,FanDuel
2022-04-17,17768556,363904.7499999993,Fanatics
2022-04-17,1074522,160729.51,Resorts World Bet
2022-04-17,7544834,236575.40999999968,Rush Street Interactive
2022-04-24,54234036,3929039.7799998634,Caesars Sport Book
2022-04-24,78153044,7165122.400002996,DraftKings Sport Book
2022-04-24,2307442,127273.36999999973,ESPN Bet
2022-04-24,145319117,21188729.479999997,FanDuel
2022-04-24,10475477,858914.8100000003,Fanatics
2022-04-24,1941077,47543.51999999993,Resorts World Bet
2022-04-24,9798122,679843.2199999996,Rush Street Interactive
2022-05-01,43967120,1361370.7374996813,Caesars Sport Book
2022-05-01,64602518,1422782.1700000055,DraftKings Sport Book
2022-05-01,2361701,61319.309999999154,ESPN Bet
2022-05-01,135643300,9434226.400000002,FanDuel
2022-05-01,10378003,150478.27000000002,Fanatics
2022-05-01,1618418,53070.7000000001,Resorts World Bet
2022-05-01,8231281,384558.26,Rush Street Interactive
2022-05-08,52028639,4633806.736199625,Caesars Sport Book
2022-05-08,78871062,8743086.099999003,DraftKings Sport Book
2022-05-08,2386678,341315.81999999896,ESPN Bet
2022-05-08,145144112,19370029.18999999,FanDuel
2022-05-08,12976974,711215.4400000009,Fanatics
2022-05-08,1454192,82724.49,Resorts World Bet
2022-05-08,7549694,736298.9000000004,Rush Street Interactive
2022-05-15,45379532,3090371.680750034,Caesars Sport Book
2022-05-15,71657120,6303400.920000999,DraftKings Sport Book
2022-05-15,2140266,151599.80999999965,ESPN Bet
2022-05-15,120188666,17647800.959999997,FanDuel
2022-05-15,8442658,858703.8700000001,Fanatics
2022-05-15,1218091,27896.789999999964,Resorts World Bet
2022-05-15,7177595,603015.47,Rush Street Interactive
2022-05-22,40617910,2351657.428301473,Caesars Sport Book
2022-05-22,64150552,3696933.919999997,DraftKings Sport Book
2022-05-22,2128405,97587.04000000053,ESPN Bet
2022-05-22,114113942,14738270.550000006,FanDuel
2022-05-22,5991542,756086.79,Fanatics
2022-05-22,1490377,155860.23000000004,Resorts World Bet
2022-05-22,6583926,284688.82999999996,Rush Street Interactive
2022-05-29,38568006,1561717.4824999515,Caesars Sport Book
2022-05-29,71069185,1851455.58,DraftKings Sport Book
2022-05-29,2288059,117965.14,ESPN Bet
2022-05-29,121629979,8378828.509999998,FanDuel
2022-05-29,4122066,488172.36,Fanatics
2022-05-29,6965401,39569.55,Rush Street Interactive
2022-06-05,40573583,171656.61249952205,Caesars Sport Book
2022-06-05,74132661,2724351.809999001,DraftKings Sport Book
2022-06-05,1641456,59750.490000000194,ESPN Bet
2022-06-05,117247862,6765992.16,FanDuel
2022-06-05,4263697,126608.53000000014,Fanatics
2022-06-05,7361038,407122.08999999985,Rush Street Interactive
2022-06-12,37099240,2969372.524999489,Caesars Sport Book
2022-06-12,65549965,6136252.979997002,DraftKings Sport Book
2022-06-12,1582546,177909.83,ESPN Bet
2022-06-12,109067610,8814678.829999993,FanDuel
2022-06-12,5134908,234819.56,Fanatics
2022-06-12,1526765,82296.0,Resorts World Bet
2022-06-12,5470900,483504.55,Rush Street Interactive
2022-06-19,65637854,1081359.300001002,DraftKings Sport Book
2022-06-19,124900488,12364944.050000003,FanDuel
2022-06-19,5740853,773237.84,Fanatics
2022-06-19,6137745,329339.65,Rush Street Interactive
2022-06-26,33064982,2249100.982,Caesars Sport Book
2022-06-26,52886518,3671514.6099970043,DraftKings Sport Book
2022-06-26,1589466,44548.04999999964,ESPN Bet
2022-06-26,101537195,7845800.5500000045,FanDuel
2022-06-26,3415137,414114.70999999996,Fanatics
2022-06-26,1566655,10817.169999999955,Resorts World Bet
2022-06-26,5285712,323273.9399999996,Rush Street Interactive
2022-07-03,31266883,1822442.965000017,Caesars Sport Book
2022-07-03,55941060,4413864.509997002,DraftKings Sport Book
2022-07-03,1600410,179348.3699999995,ESPN Bet
2022-07-03,93273267,10563381.820000002,FanDuel
2022-07-03,5213615,382477.4999999997,Fanatics
2022-07-03,1107659,38322.97000000003,Resorts World Bet
2022-07-03,5818166,407199.7699999999,Rush Street Interactive
2022-07-10,30542769,3596757.5372491437,Caesars Sport Book
2022-07-10,52140153,6109324.74,DraftKings Sport Book
2022-07-10,1274514,144683.7500000002,ESPN Bet
2022-07-10,80221826,13778040.2,FanDuel
