Date,Handle,GGR,Brand
2022-01-09,63236093,-2725965.0,FanDuel
2022-01-09,2136535,517129.0,Rush Street Interactive
2022-01-16,137115792,16866764.0,FanDuel
2022-01-16,8497137,-70433.0,Rush Street Interactive
2022-01-23,40569269,2514702.0,BetMGM
2022-01-23,159653476,10038212.0,FanDuel
2022-01-23,11561320,784797.0,Rush Street Interactive
2022-01-30,37503630,710277.0,BetMGM
2022-01-30,141786622,-564868.0,FanDuel
2022-01-30,10229325,-394458.0,Rush Street Interactive
2022-02-06,34260676,443110.0,BetMGM
2022-02-06,251356,33657.0,ESPN Bet
2022-02-06,130256763,6632391.0,FanDuel
2022-02-06,8437014,762243.0,Rush Street Interactive
2022-02-13,43304190,-362488.0,BetMGM
2022-02-13,1101825,174062.0,ESPN Bet
2022-02-13,175437706,-2726650.0,FanDuel
2022-02-13,11499208,284625.0,Rush Street Interactive
2022-02-20,39060165,2120843.0,BetMGM
2022-02-20,1508285,212059.0,ESPN Bet
2022-02-20,130615127,12298065.0,FanDuel
2022-02-20,8750825,535745.0,Rush Street Interactive
2022-02-27,37841561,1909477.0,BetMGM
2022-02-27,2000044,311265.0,ESPN Bet
2022-02-27,131988617,10438399.0,FanDuel
2022-02-27,8481025,598149.0,Rush Street Interactive
2022-03-06,38904802,1206985.0,BetMGM
2022-03-06,2346213,304816.0,ESPN Bet
2022-03-06,145617446,18013929.0,FanDuel
2022-03-06,742109,93002.0,Resorts World Bet
2022-03-06,8850263,549318.0,Rush Street Interactive
2022-03-13,40450274,2072188.0,BetMGM
2022-03-13,2357779,391224.0,ESPN Bet
2022-03-13,173049083,17546356.0,FanDuel
2022-03-13,1433637,177295.0,Resorts World Bet
2022-03-13,10649132,372390.0,Rush Street Interactive
2022-03-20,43007730,1589234.0,BetMGM
2022-03-20,2249686,223775.0,ESPN Bet
2022-03-20,167953379,14665422.0,FanDuel
2022-03-20,1240084,95942.0,Resorts World Bet
2022-03-20,10950091,718167.0,Rush Street Interactive
2022-03-27,36354194,-432577.0,BetMGM
2022-03-27,1973837,193592.0,ESPN Bet
2022-03-27,133100095,9530287.0,FanDuel
2022-03-27,1108773,87231.0,Resorts World Bet
2022-03-27,8040398,-48365.0,Rush Street Interactive
2022-04-03,36879411,733061.0,BetMGM
2022-04-03,48873594,4254072.1749991,Caesars Sport Book
2022-04-03,72955408,5379577.99,DraftKings Sport Book
2022-04-03,2213955,217035.0,ESPN Bet
2022-04-03,135723818,3819999.0,FanDuel
2022-04-03,6453997,362590.48000000004,Fanatics
2022-04-03,844324,90715.0,Resorts World Bet
2022-04-03,8185567,324624.0,Rush Street Interactive
2022-04-10,36251500,1202925.0,BetMGM
